hour,count
0,55
1,18
2,0
3,0
4,1
5,17
6,202
7,665
8,907
9,1036
10,1399
11,225
12,1160
13,829
14,1072
15,968
16,427
17,455
18,293
19,363
20,508
21,528
22,344
23,1505
