date,messagecount
2017/2,806
2017/3,7659
2017/4,6037
2017/5,2124
2017/6,68
2017/7,364
2017/8,1160
2017/9,1540
2017/10,27
2017/11,639
2017/12,4061
2018/1,203
2018/2,314
